episode,x,y,z,total_reward,rotor
1,0.0,0.0,157.4509359471104,-14350.22686296522,[902.1265458817472]
2,0.0,0.0,157.3805251127493,-14337.979532687275,[899.702654815065]
3,0.0,0.0,157.4634324699431,-14351.343087904497,[900.3154828471944]
4,0.0,0.0,157.48462149854245,-14348.04898553222,[900.4473858958654]
5,0.0,0.0,157.3837904616789,-14339.406681213304,[897.8567962470689]
6,0.0,0.0,157.37878951242274,-14339.255371341507,[899.5491433948796]
7,0.0,0.0,157.58736521812136,-14366.31182980761,[896.8659472464989]
8,0.0,0.0,157.3852212264722,-14338.695473842567,[900.7839573762336]
9,0.0,0.0,157.35675083746304,-14325.464027858246,[900.835637573062]
10,0.0,0.0,157.29674622628843,-14318.99009672122,[900.8908840751366]
11,0.0,0.0,157.38256032394992,-14326.729902928982,[901.6728418521869]
12,0.0,0.0,157.28051259870182,-14321.333281190793,[902.9292257949902]
13,0.0,0.0,157.45206073741946,-14350.066305299195,[897.557737801478]
14,0.0,0.0,157.3897479829164,-14334.930915450544,[899.8479612321078]
15,0.0,0.0,157.46697097115546,-14349.016169292501,[900.7032196932523]
16,0.0,0.0,157.41102420557075,-14338.900797415656,[898.2640200191673]
17,0.0,0.0,157.4985633969911,-14354.404296226945,[901.1839174054909]
18,0.0,0.0,157.4066773231754,-14344.950651080884,[897.7494725100245]
19,0.0,0.0,157.4740615634529,-14357.743329680348,[898.7083744414758]
20,0.0,0.0,157.45177556916474,-14342.367834704253,[896.007062287322]
21,0.0,0.0,157.44568574495145,-14343.68615063434,[897.9276930795434]
22,0.0,0.0,157.46587892675137,-14347.676022570284,[900.7534343448141]
23,0.0,0.0,157.41753871450203,-14335.920612407299,[901.31370915742]
24,0.0,0.0,157.34360390605633,-14339.694395451834,[898.148012411847]
25,0.0,0.0,157.527204664121,-14364.754915323263,[900.1878975960531]
26,0.0,0.0,157.43002423378348,-14351.839261030285,[902.3138738538732]
27,0.0,0.0,157.43312256797674,-14349.713486250432,[899.4681044354468]
28,0.0,0.0,157.40974990461405,-14346.633065775577,[899.7169021780838]
29,0.0,0.0,157.41058629442887,-14336.263384287278,[898.7870332391196]
30,0.0,0.0,157.45753523264742,-14343.632692901645,[898.5627853679781]
31,0.0,0.0,157.65167287472232,-14375.218425774794,[901.5102953092272]
32,0.0,0.0,157.46967406065264,-14344.98487366056,[902.2929609675241]
33,0.0,0.0,157.44457218139686,-14347.244126503192,[897.1462301625114]
34,0.0,0.0,157.5245342059095,-14359.80355881679,[900.3308810603402]
35,0.0,0.0,157.54945291831476,-14357.312964381306,[902.7930074077732]
36,0.0,0.0,157.34346232653317,-14339.65593205296,[897.5705890939649]
37,0.0,0.0,157.4292541225485,-14345.411419619422,[899.6918131222025]
38,0.0,0.0,157.5849521400981,-14371.315666520555,[902.5452641385699]
39,0.0,0.0,157.4506121066515,-14341.83547212639,[898.671183823635]
40,0.0,0.0,157.46320712185414,-14345.893670969988,[899.3349037376761]
41,0.0,0.0,157.45711292195355,-14353.420483671538,[899.457218978191]
42,0.0,0.0,157.49629020086417,-14354.198791325232,[900.3047786420162]
43,0.0,0.0,157.4774049428621,-14353.381924211686,[898.2243142937122]
44,0.0,0.0,157.48705236980098,-14347.638921571917,[899.6149095154899]
45,0.0,0.0,157.36242557515448,-14336.919022842489,[902.9850156953601]
46,0.0,0.0,157.59999866941038,-14363.833285897488,[901.5986373190358]
47,0.0,0.0,157.5214105469505,-14342.249272478808,[899.731479643052]
48,0.0,0.0,157.31625173580912,-14326.145050382222,[899.937078222882]
49,0.0,0.0,157.4725958664962,-14353.025197710398,[896.8992413801799]
50,0.0,0.0,157.51654700061323,-14358.20216058893,[901.0865125201644]
51,0.0,0.0,157.37446984812505,-14338.443879614359,[899.6957575463243]
52,0.0,0.0,157.55345265043997,-14358.60092579219,[900.8554533227799]
53,0.0,0.0,157.5431407044223,-14350.121540972566,[898.103899628079]
54,0.0,0.0,157.538204860306,-14361.839688533568,[896.5555998428864]
55,0.0,0.0,157.34182161146194,-14335.06827240422,[901.8203692133318]
56,0.0,0.0,157.44593827324704,-14355.360365814126,[900.4833099221665]
57,0.0,0.0,157.452402633966,-14348.884794759384,[899.1242472096965]
58,0.0,0.0,157.3770308784601,-14334.11271761595,[902.4878832432111]
59,0.0,0.0,157.42759303017806,-14341.105902296813,[898.3250020552381]
60,0.0,0.0,157.4184678633299,-14339.293778324229,[900.4087522144475]
61,0.0,0.0,157.46607775304594,-14348.846595914192,[898.6616984448675]
62,0.0,0.0,157.56519851827713,-14355.192041736207,[899.7952207099871]
63,0.0,0.0,157.41919637959396,-14334.766426363565,[901.3193526345888]
64,0.0,0.0,157.53698853532822,-14365.029804544753,[900.3312851212364]
65,0.0,0.0,157.54749943122508,-14369.287065701028,[901.4268574293706]
66,0.0,0.0,157.51857503700063,-14357.685692293664,[903.7385958222075]
67,0.0,0.0,157.52427219693544,-14356.48858320839,[902.3267677485177]
68,0.0,0.0,157.48650530466074,-14350.585808528274,[898.0846425043649]
69,0.0,0.0,157.53337038278244,-14351.980079432444,[898.7780341916781]
70,0.0,0.0,157.47933593849072,-14343.995952011617,[899.544305125332]
71,0.0,0.0,157.4576999648533,-14346.777338467658,[901.5857801813826]
72,0.0,0.0,157.47548446962512,-14349.730818355894,[901.8522412526099]
73,0.0,0.0,157.34125169304428,-14337.150756394418,[897.8234512843942]
74,0.0,0.0,157.31304401509982,-14334.926195080307,[898.5332901153845]
75,0.0,0.0,157.428420300027,-14341.397147312378,[897.2155070239189]
76,0.0,0.0,157.4899203715756,-14353.470715252924,[902.5906626151103]
77,0.0,0.0,157.3753132089922,-14337.687112254453,[898.6120937125229]
78,0.0,0.0,157.3884757306901,-14334.449864457021,[898.3055452955584]
79,0.0,0.0,157.42917739622112,-14358.51209971258,[902.7324475591715]
80,0.0,0.0,157.45917722205644,-14354.25587173521,[900.3773173318816]
81,0.0,0.0,157.34388925998744,-14338.696322610682,[899.1026594146532]
82,0.0,0.0,157.5323855639006,-14362.799352429942,[898.8321604712916]
83,0.0,0.0,157.47665283369392,-14363.689494238333,[900.3223850698223]
84,0.0,0.0,157.5327782222115,-14362.951039758436,[901.3579056825662]
85,0.0,0.0,157.4060135229321,-14347.477601442803,[899.1372601431749]
86,0.0,0.0,157.49317498633496,-14354.132748576541,[896.5706146003683]
87,0.0,0.0,157.59421661699443,-14361.54817627555,[901.3885264913613]
88,0.0,0.0,157.52663198357214,-14357.321535844574,[898.164512480966]
89,0.0,0.0,157.42369070974917,-14345.776429225241,[902.8891530881021]
90,0.0,0.0,157.55246989258688,-14362.111643368493,[899.0308321280107]
91,0.0,0.0,157.51261999950455,-14363.756896581912,[899.2167729508205]
92,0.0,0.0,157.62551792209425,-14370.053105655332,[899.0857586205259]
93,0.0,0.0,157.48241570455954,-14354.890116331871,[899.2187622540664]
94,0.0,0.0,157.42277604964085,-14345.84656900687,[902.8859210335679]
95,0.0,0.0,157.46992809747283,-14347.44070044655,[899.2254992281999]
96,0.0,0.0,157.4874636309445,-14353.321913564852,[897.5759257525998]
97,0.0,0.0,157.46320778673,-14351.14390172188,[899.3374791755067]
98,0.0,0.0,157.4963201985146,-14353.99819577506,[900.9866141331913]
99,0.0,0.0,157.5665289558516,-14356.070792582732,[898.0651135372162]
100,0.0,0.0,157.5834682962429,-14370.061765625005,[899.3491062239484]
101,0.0,0.0,157.42755911782115,-14344.331757571445,[897.7003273088251]
102,0.0,0.0,157.49581379170462,-14355.027701652612,[899.9548921609644]
103,0.0,0.0,157.5375215852413,-14351.631686332905,[898.9071135024791]
104,0.0,0.0,157.44246792060997,-14341.248011324433,[900.849476791764]
105,0.0,0.0,157.58772114378345,-14363.336516048525,[899.349927375608]
106,0.0,0.0,157.46161275159653,-14347.014309029806,[901.0023492595725]
107,0.0,0.0,157.36857283563884,-14340.194886206327,[898.2357013902292]
108,0.0,0.0,157.35137164036414,-14325.52965266261,[899.306862300654]
109,0.0,0.0,157.377259763817,-14322.22626947421,[901.0666963255496]
110,0.0,0.0,157.49132104246974,-14354.030827533634,[900.2696220981472]
111,0.0,0.0,157.52894234805754,-14358.75112121673,[900.1397319239808]
112,0.0,0.0,157.44294358724986,-14340.440162333029,[897.9690254830075]
113,0.0,0.0,157.52831402061747,-14364.073372744127,[896.4845679561619]
114,0.0,0.0,157.44849449126735,-14349.197474511122,[902.6196628982084]
115,0.0,0.0,157.45581328132874,-14347.132211158025,[901.8603158416531]
116,0.0,0.0,157.4309517463659,-14340.531783115555,[900.4782786904265]
117,0.0,0.0,157.5370637016585,-14354.337254275171,[899.5037606214671]
118,0.0,0.0,157.39288583388142,-14331.85443876508,[899.0631904269549]
119,0.0,0.0,157.47324972011683,-14344.030551459855,[899.597016392303]
120,0.0,0.0,157.4788054257297,-14341.763278989267,[900.1777543126273]
121,0.0,0.0,157.42107425850497,-14336.562401481488,[901.801004308055]
122,0.0,0.0,157.46880957488642,-14341.23516453188,[897.8009950926798]
123,0.0,0.0,157.56877596227395,-14372.053563402953,[896.8313385511261]
124,0.0,0.0,157.54497942445812,-14360.364750952132,[902.456003624032]
125,0.0,0.0,157.51310776885225,-14350.228627583107,[899.9514629931241]
126,0.0,0.0,157.32892615345395,-14324.357375594365,[900.7636837334828]
127,0.0,0.0,157.54137015427813,-14359.598238299528,[898.5904291202087]
128,0.0,0.0,157.46745754158718,-14352.865932465538,[896.8096178960225]
129,0.0,0.0,157.46132072986708,-14351.134325995403,[898.9267395731581]
130,0.0,0.0,157.49271030143842,-14359.998863715415,[899.289215330607]
131,0.0,0.0,157.45830191075498,-14352.147385788889,[896.7781602005845]
132,0.0,0.0,157.49523796803487,-14353.984582769135,[899.4408427286637]
133,0.0,0.0,157.53894798261362,-14360.21457993799,[900.8502094865494]
134,0.0,0.0,157.38345082818947,-14336.778545496918,[903.1792229868416]
135,0.0,0.0,157.400742466001,-14344.183830326867,[900.1306437358321]
136,0.0,0.0,157.42897158728212,-14349.751738121351,[898.8526379105847]
137,0.0,0.0,157.5477273896285,-14366.061511789232,[900.7809552335146]
138,0.0,0.0,157.46404015218502,-14350.701653576376,[898.1175730248256]
